id,product_id,available_quantity,reserved_quantity,damaged_quantity,last_updated
1,1,31,4,4,2025-12-31 18:00:00
2,2,57,0,3,2025-12-31 18:00:00
3,3,60,4,2,2025-12-31 18:00:00
4,4,59,0,1,2025-12-31 18:00:00
5,5,52,0,4,2025-12-31 18:00:00
6,6,69,10,1,2025-12-31 18:00:00
7,7,49,8,5,2025-12-31 18:00:00
8,8,40,1,2,2025-12-31 18:00:00
9,9,23,6,0,2025-12-31 18:00:00
10,10,40,8,5,2025-12-31 18:00:00
11,11,16,9,0,2025-12-31 18:00:00
12,12,30,9,3,2025-12-31 18:00:00
13,13,95,2,4,2025-12-31 18:00:00
14,14,79,9,1,2025-12-31 18:00:00
15,15,60,3,1,2025-12-31 18:00:00
16,16,61,10,1,2025-12-31 18:00:00
17,17,77,4,0,2025-12-31 18:00:00
18,18,31,2,5,2025-12-31 18:00:00
19,19,50,8,1,2025-12-31 18:00:00
20,20,40,1,3,2025-12-31 18:00:00
21,21,147,3,3,2025-12-31 18:00:00
22,22,22,8,5,2025-12-31 18:00:00
23,23,125,3,0,2025-12-31 18:00:00
24,24,59,2,3,2025-12-31 18:00:00
25,25,52,9,2,2025-12-31 18:00:00
26,26,79,4,3,2025-12-31 18:00:00
27,27,25,4,5,2025-12-31 18:00:00
28,28,89,7,3,2025-12-31 18:00:00
29,29,44,2,3,2025-12-31 18:00:00
30,30,36,0,3,2025-12-31 18:00:00
31,31,42,1,5,2025-12-31 18:00:00
32,32,62,6,3,2025-12-31 18:00:00
33,33,170,8,3,2025-12-31 18:00:00
34,34,129,2,1,2025-12-31 18:00:00
35,35,62,7,1,2025-12-31 18:00:00
36,36,73,0,5,2025-12-31 18:00:00
37,37,83,4,2,2025-12-31 18:00:00
38,38,67,4,4,2025-12-31 18:00:00
39,39,32,10,3,2025-12-31 18:00:00
40,40,10,10,2,2025-12-31 18:00:00
41,41,35,0,3,2025-12-31 18:00:00
42,42,24,8,1,2025-12-31 18:00:00
43,43,60,7,2,2025-12-31 18:00:00
44,44,15,7,5,2025-12-31 18:00:00
45,45,82,4,2,2025-12-31 18:00:00
46,46,40,6,4,2025-12-31 18:00:00
47,47,21,7,4,2025-12-31 18:00:00
48,48,56,0,3,2025-12-31 18:00:00
49,49,20,6,4,2025-12-31 18:00:00
50,50,58,10,3,2025-12-31 18:00:00
51,51,48,3,3,2025-12-31 18:00:00
52,52,38,6,2,2025-12-31 18:00:00
53,53,38,7,4,2025-12-31 18:00:00
54,54,41,1,4,2025-12-31 18:00:00
55,55,92,10,5,2025-12-31 18:00:00
56,56,100,10,1,2025-12-31 18:00:00
57,57,62,5,1,2025-12-31 18:00:00
58,58,63,2,3,2025-12-31 18:00:00
59,59,13,5,5,2025-12-31 18:00:00
60,60,34,10,0,2025-12-31 18:00:00
61,61,31,9,4,2025-12-31 18:00:00
62,62,34,9,0,2025-12-31 18:00:00
63,63,40,4,2,2025-12-31 18:00:00
64,64,31,0,2,2025-12-31 18:00:00
65,65,56,1,3,2025-12-31 18:00:00
66,66,32,8,3,2025-12-31 18:00:00
67,67,70,2,4,2025-12-31 18:00:00
68,68,98,10,4,2025-12-31 18:00:00
69,69,56,8,3,2025-12-31 18:00:00
70,70,32,1,3,2025-12-31 18:00:00
71,71,38,7,4,2025-12-31 18:00:00
