id,business_id,category_id,supplier_id,barcode,product_name,brand,unit,mrp,selling_price,manufacturing_date,expiry_date,minimum_stock,status
1,1,3,2,890100000001,Amul Gold Milk,Amul,1 Litre,34,32,2025-01-01,2026-12-31,20,ACTIVE
2,1,3,2,890100000002,Amul Taaza,Amul,1 Litre,30,28,2025-01-01,2026-12-31,20,ACTIVE
3,1,3,34,890100000003,Mother Dairy Toned Milk,Mother Dairy,1 Litre,32,30,2025-01-01,2026-12-31,18,ACTIVE
4,1,1,6,890100000004,Britannia Bread,Britannia,400 gm,50,48,2025-01-01,2026-12-31,20,ACTIVE
5,1,1,23,890100000005,Harvest Gold Bread,Harvest Gold,400 gm,48,46,2025-01-01,2026-12-31,18,ACTIVE
6,1,1,6,890100000006,Britannia Brown Bread,Britannia,400 gm,58,55,2025-01-01,2026-12-31,15,ACTIVE
7,1,1,6,890100000007,Britannia Cake,Britannia,250 gm,40,38,2025-01-01,2026-12-31,12,ACTIVE
8,1,1,6,890100000008,Britannia Fruit Cake,Britannia,250 gm,45,42,2025-01-01,2026-12-31,10,ACTIVE
9,1,1,23,890100000009,English Muffin,Harvest Gold,250 gm,65,62,2025-01-01,2026-12-31,8,ACTIVE
10,1,1,6,890100000010,Burger Bun,Britannia,Pack of 6,38,36,2025-01-01,2026-12-31,15,ACTIVE
11,1,1,6,890100000011,Pizza Base,Britannia,2 Pieces,60,58,2025-01-01,2026-12-31,10,ACTIVE
12,1,1,6,890100000012,Garlic Bread,Britannia,250 gm,75,72,2025-01-01,2026-12-31,8,ACTIVE
13,1,2,12,890100000013,Coca-Cola,Coca-Cola,750 ml,45,42,2025-01-01,2026-12-31,30,ACTIVE
14,1,2,38,890100000014,Pepsi,Pepsi,750 ml,45,42,2025-01-01,2026-12-31,30,ACTIVE
15,1,2,12,890100000015,Sprite,Coca-Cola,750 ml,45,42,2025-01-01,2026-12-31,25,ACTIVE
16,1,2,12,890100000016,Fanta,Coca-Cola,750 ml,45,42,2025-01-01,2026-12-31,20,ACTIVE
17,1,2,12,890100000017,Thumbs Up,Coca-Cola,750 ml,46,44,2025-01-01,2026-12-31,25,ACTIVE
18,1,2,43,890100000018,Red Bull,Red Bull,250 ml,125,120,2025-01-01,2026-12-31,12,ACTIVE
19,1,2,42,890100000019,Real Mixed Fruit Juice,Real,1 Litre,120,115,2025-01-01,2026-12-31,15,ACTIVE
20,1,2,47,890100000020,Tropicana Orange Juice,Tropicana,1 Litre,130,125,2025-01-01,2026-12-31,12,ACTIVE
21,1,2,5,890100000021,Bisleri Mineral Water,Bisleri,1 Litre,20,20,2025-01-01,2026-12-31,40,ACTIVE
22,1,2,35,890100000022,Nescafe Classic Coffee,Nestle,100 gm,320,310,2025-01-01,2026-12-31,10,ACTIVE
23,1,5,1,890100000023,Aashirvaad Atta,Aashirvaad,5 Kg,285,275,2025-01-01,2026-12-31,25,ACTIVE
24,1,5,19,890100000024,Fortune Basmati Rice,Fortune,5 Kg,620,595,2025-01-01,2026-12-31,20,ACTIVE
25,1,5,19,890100000025,Fortune Sunflower Oil,Fortune,1 Litre,175,168,2025-01-01,2026-12-31,30,ACTIVE
26,1,5,46,890100000026,Tata Salt,Tata,1 Kg,28,26,2025-01-01,2026-12-31,35,ACTIVE
27,1,5,27,890100000027,India Gate Basmati Rice,India Gate,5 Kg,760,735,2025-01-01,2026-12-31,15,ACTIVE
28,1,5,19,890100000028,Fortune Sugar,Fortune,1 Kg,50,48,2025-01-01,2026-12-31,30,ACTIVE
29,1,5,19,890100000029,Toor Dal,Fortune,1 Kg,170,165,2025-01-01,2026-12-31,25,ACTIVE
30,1,5,19,890100000030,Moong Dal,Fortune,1 Kg,160,155,2025-01-01,2026-12-31,20,ACTIVE
31,1,5,17,890100000031,Everest Turmeric Powder,Everest,200 gm,60,58,2025-01-01,2026-12-31,15,ACTIVE
32,1,5,17,890100000032,Everest Red Chilli Powder,Everest,200 gm,65,62,2025-01-01,2026-12-31,15,ACTIVE
33,1,9,37,890100000033,Parle-G,Parle,200 gm,22,20,2025-01-01,2026-12-31,40,ACTIVE
34,1,9,6,890100000034,Britannia Good Day,Britannia,200 gm,35,32,2025-01-01,2026-12-31,35,ACTIVE
35,1,9,37,890100000035,Hide & Seek,Parle,120 gm,40,38,2025-01-01,2026-12-31,25,ACTIVE
36,1,9,39,890100000036,Kurkure Masala Munch,PepsiCo,90 gm,25,22,2025-01-01,2026-12-31,30,ACTIVE
37,1,9,29,890100000037,Lay's Classic,Lay's,90 gm,25,22,2025-01-01,2026-12-31,30,ACTIVE
38,1,9,26,890100000038,Bingo Mad Angles,ITC,90 gm,30,28,2025-01-01,2026-12-31,20,ACTIVE
39,1,9,7,890100000039,Cadbury Dairy Milk,Cadbury,100 gm,90,85,2025-01-01,2026-12-31,15,ACTIVE
40,1,9,18,890100000040,Ferrero Rocher Pack,Ferrero,16 Pieces,499,480,2025-01-01,2026-12-31,6,ACTIVE
41,1,8,31,890100000041,Lux Soap,Lux,150 gm,42,40,2025-01-01,2026-12-31,25,ACTIVE
42,1,8,15,890100000042,Dove Soap,Dove,125 gm,70,68,2025-01-01,2026-12-31,20,ACTIVE
43,1,8,11,890100000043,Clinic Plus Shampoo,Clinic Plus,340 ml,245,235,2025-01-01,2026-12-31,18,ACTIVE
44,1,8,24,890100000044,Head & Shoulders Shampoo,Head & Shoulders,340 ml,340,330,2025-01-01,2026-12-31,15,ACTIVE
45,1,8,13,890100000045,Colgate Strong Teeth,Colgate,200 gm,120,115,2025-01-01,2026-12-31,20,ACTIVE
46,1,8,41,890100000046,Ponds Face Wash,Ponds,150 ml,190,180,2025-01-01,2026-12-31,12,ACTIVE
47,1,8,36,890100000047,Nivea Body Lotion,Nivea,400 ml,320,305,2025-01-01,2026-12-31,12,ACTIVE
48,1,6,45,890100000048,Surf Excel Detergent,Surf Excel,1 Kg,260,250,2025-01-01,2026-12-31,20,ACTIVE
49,1,6,4,890100000049,Ariel Matic,Ariel,2 Kg,580,560,2025-01-01,2026-12-31,15,ACTIVE
50,1,6,30,890100000050,Lizol Floor Cleaner,Lizol,1 Litre,180,170,2025-01-01,2026-12-31,18,ACTIVE
51,1,6,22,890100000051,Harpic Toilet Cleaner,Harpic,1 Litre,175,168,2025-01-01,2026-12-31,20,ACTIVE
52,1,6,49,890100000052,Vim Dishwash Liquid,Vim,750 ml,120,115,2025-01-01,2026-12-31,20,ACTIVE
53,1,6,21,890100000053,Good Knight Liquid Vaporizer,Good Knight,45 ml,85,80,2025-01-01,2026-12-31,15,ACTIVE
54,1,6,25,890100000054,Hit Insect Killer Spray,Hit,400 ml,180,172,2025-01-01,2026-12-31,12,ACTIVE
55,1,7,20,890100000055,Crocin Advance,GSK,20 Tablets,35,34,2025-01-01,2026-12-31,25,ACTIVE
56,1,7,33,890100000056,Dolo 650,Micro Labs,15 Tablets,32,30,2025-01-01,2026-12-31,25,ACTIVE
57,1,7,16,890100000057,ENO Lemon,ENO,100 gm,60,58,2025-01-01,2026-12-31,18,ACTIVE
58,1,7,48,890100000058,Vicks VapoRub,Vicks,50 ml,125,120,2025-01-01,2026-12-31,15,ACTIVE
