id,product_id,invoice_number,sale_date,quantity_sold,selling_price,discount,total_amount
1,1,INV-000001,2025-01-01,23,32.28,0,742.44
2,2,INV-000001,2025-01-01,18,27.78,0,500.04
3,3,INV-000001,2025-01-01,19,29.6,0,562.4
4,4,INV-000002,2025-01-01,26,47.18,0,1226.68
5,5,INV-000002,2025-01-01,23,45.73,10,946.61
6,6,INV-000002,2025-01-01,14,54.1,20,605.92
7,7,INV-000003,2025-01-01,13,38.55,0,501.15
8,8,INV-000003,2025-01-01,12,42.17,0,506.04
9,9,INV-000003,2025-01-01,6,62.18,0,373.08
10,10,INV-000003,2025-01-01,18,36.06,0,649.08
11,11,INV-000003,2025-01-01,10,58.44,5,555.18
12,12,INV-000007,2025-01-01,5,72.54,0,362.7
13,13,INV-000007,2025-01-01,18,41.17,20,592.85
14,14,INV-000003,2025-01-01,15,41.74,5,594.79
15,15,INV-000006,2025-01-01,11,41.83,20,368.1
16,16,INV-000006,2025-01-01,10,42.67,0,426.7
17,17,INV-000006,2025-01-01,13,44.71,0,581.23
18,18,INV-000005,2025-01-01,6,121.06,0,726.36
19,19,INV-000007,2025-01-01,8,113.63,0,909.04
20,20,INV-000006,2025-01-01,7,126.8,0,887.6
21,21,INV-000006,2025-01-01,27,20.01,0,540.27
22,22,INV-000005,2025-01-01,11,311.99,0,3431.89
23,23,INV-000012,2025-01-01,18,276.24,0,4972.32
24,24,INV-000005,2025-01-01,20,585.88,0,11717.6
25,25,INV-000009,2025-01-01,23,168.69,0,3879.87
26,26,INV-000007,2025-01-01,24,26.27,15,535.91
27,27,INV-000007,2025-01-01,12,748.42,0,8981.04
28,28,INV-000006,2025-01-01,21,47.06,5,938.85
29,29,INV-000015,2025-01-01,20,167.11,0,3342.2
30,30,INV-000016,2025-01-01,16,157.31,0,2516.96
31,31,INV-000011,2025-01-01,8,58.7,0,469.6
32,32,INV-000011,2025-01-01,9,62.96,0,566.64
33,33,INV-000017,2025-01-01,28,20.04,0,561.12
34,34,INV-000007,2025-01-01,23,32.61,20,600.02
35,35,INV-000009,2025-01-01,16,37.85,0,605.6
36,36,INV-000010,2025-01-01,26,22.36,0,581.36
37,37,INV-000019,2025-01-01,21,21.75,10,411.07
38,38,INV-000008,2025-01-01,17,27.5,0,467.5
39,39,INV-000014,2025-01-01,15,83.69,0,1255.35
40,40,INV-000011,2025-01-01,3,480.69,0,1442.07
41,41,INV-000014,2025-01-01,21,39.64,0,832.44
42,42,INV-000015,2025-01-01,12,68.37,15,697.37
43,43,INV-000009,2025-01-01,13,232.81,0,3026.53
44,44,INV-000012,2025-01-01,7,332.43,0,2327.01
45,45,INV-000010,2025-01-01,13,116.62,0,1516.06
46,46,INV-000010,2025-01-01,6,179.25,20,860.4
47,47,INV-000010,2025-01-01,10,300.87,0,3008.7
48,48,INV-000010,2025-01-01,12,249.23,0,2990.76
49,49,INV-000025,2025-01-01,10,551.1,0,5511.0
50,50,INV-000013,2025-01-01,9,170.31,10,1379.51
51,51,INV-000026,2025-01-01,11,169.72,0,1866.92
52,52,INV-000014,2025-01-01,15,116.54,0,1748.1
53,53,INV-000018,2025-01-01,5,81.09,0,405.45
54,54,INV-000028,2025-01-01,4,174.4,0,697.6
55,55,INV-000019,2025-01-01,13,34.2,0,444.6
56,56,INV-000029,2025-01-01,13,30.31,0,394.03
57,57,INV-000015,2025-01-01,11,57.54,0,632.94
58,58,INV-000012,2025-01-01,12,118.31,5,1348.73
59,59,INV-000020,2025-01-01,7,138.41,0,968.87
60,60,INV-000021,2025-01-01,6,162.43,5,925.85
61,61,INV-000016,2025-01-01,3,47.4,0,142.2
62,62,INV-000013,2025-01-01,9,162.14,0,1459.26
63,63,INV-000032,2025-01-01,6,117.01,0,702.06
64,64,INV-000017,2025-01-01,5,125.81,0,629.05
