barcode,invoice_number,sale_date,quantity_sold,selling_price,discount,total_amount
8901001,INV-00005,2026-05-08,3,68,10.2,193.8
8901006,INV-00422,2026-05-08,1,118,5.9,112.1
8901012,INV-00546,2026-05-08,1,42,0,42
8901020,INV-00646,2026-05-08,3,56,0,168
8901033,INV-00913,2026-05-08,1,155,7.75,147.25
8901061,INV-01505,2026-05-08,1,42,0,42
8901004,INV-00342,2026-05-09,3,28,0,84
8901051,INV-01185,2026-05-09,3,270,81.0,729.0
8901057,INV-01383,2026-05-09,1,165,0,165
8901060,INV-01465,2026-05-09,1,348,0,348
8901003,INV-00255,2026-05-10,3,272,0,816
8901012,INV-00543,2026-05-10,2,42,0,84
8901030,INV-00680,2026-05-10,5,20,5.0,95.0
8901030,INV-00698,2026-05-10,5,20,5.0,95.0
8901034,INV-00994,2026-05-10,4,42,16.8,151.2
8901060,INV-01460,2026-05-10,2,348,0,696
8901002,INV-00177,2026-05-11,5,52,0,260
8901012,INV-00538,2026-05-11,1,42,0,42
8901013,INV-00598,2026-05-11,3,92,27.6,248.4
8901031,INV-00783,2026-05-11,3,85,0,255
8901054,INV-01297,2026-05-11,3,172,0,516
8901061,INV-01502,2026-05-11,2,42,0,84
8901066,INV-01702,2026-05-11,1,56,0,56
8901003,INV-00285,2026-05-12,2,272,0,544
8901004,INV-00332,2026-05-12,2,28,0,56
8901012,INV-00549,2026-05-12,1,42,0,42
8901013,INV-00572,2026-05-12,1,92,0,92
8901030,INV-00703,2026-05-12,1,20,2.0,18.0
8901033,INV-00900,2026-05-12,1,155,0,155
8901001,INV-00022,2026-05-13,3,68,0,204
8901002,INV-00196,2026-05-13,5,52,0,260
8901006,INV-00434,2026-05-13,3,118,0,354
8901013,INV-00601,2026-05-13,1,92,0,92
8901031,INV-00794,2026-05-13,3,85,25.5,229.5
8901035,INV-01050,2026-05-13,3,19,2.85,54.15
8901052,INV-01217,2026-05-13,3,180,0,540
8901054,INV-01299,2026-05-13,2,172,0,344
8901061,INV-01480,2026-05-13,2,42,8.4,75.6
8901061,INV-01524,2026-05-13,2,42,0,84
8901001,INV-00087,2026-05-14,3,68,0,204
8901002,INV-00189,2026-05-14,3,52,0,156
8901002,INV-00212,2026-05-14,2,52,0,104
8901005,INV-00384,2026-05-14,1,128,0,128
8901010,INV-00489,2026-05-14,1,90,0,90
8901010,INV-00490,2026-05-14,1,90,0,90
8901030,INV-00744,2026-05-14,3,20,0,60
8901031,INV-00754,2026-05-14,4,85,0,340
8901035,INV-01079,2026-05-14,4,19,0,76
8901035,INV-01092,2026-05-14,1,19,0,19
8901054,INV-01294,2026-05-14,2,172,34.4,309.6
8901054,INV-01302,2026-05-14,2,172,0,344
8901058,INV-01404,2026-05-14,3,205,0,615
8901061,INV-01497,2026-05-14,1,42,0,42
8901061,INV-01503,2026-05-14,3,42,0,126
8901062,INV-01586,2026-05-14,4,23,4.6,87.4
8901063,INV-01617,2026-05-14,2,38,0,76
8901066,INV-01715,2026-05-14,2,56,0,112
8901001,INV-00071,2026-05-15,3,68,0,204
8901002,INV-00195,2026-05-15,3,52,0,156
